H 0
CZ 33 9
CZ 34 9
CZ 35 9
CZ 36 9
CZ 37 9
CZ 38 9
CZ 39 9
H 10
CZ 11 10
CZ 12 10
CZ 13 10
CZ 14 10
CZ 15 10
CZ 16 10
CZ 17 10
CZ 18 10
CZ 19 10
CZ 20 10
CZ 21 10
CZ 22 10
CZ 23 10
CZ 24 10
CZ 25 10
CZ 26 10
CZ 27 10
CZ 28 10
CZ 29 10
CZ 30 10
CZ 31 10
CZ 32 10
CZ 33 10
CZ 34 10
CZ 35 10
CZ 36 10
CZ 37 10
CZ 38 10
CZ 39 10
H 11
CZ 12 11
CZ 13 11
CZ 14 11
CZ 15 11
CZ 16 11
CZ 17 11
CZ 18 11
CZ 19 11
CZ 20 11
CZ 21 11
CZ 22 11
CZ 23 11
CZ 24 11
CZ 25 11
CZ 26 11
CZ 27 11
CZ 28 11
CZ 29 11
CZ 30 11
CZ 31 11
CZ 32 11
CZ 33 11
CZ 34 11
CZ 35 11
CZ 36 11
CZ 37 11
CZ 38 11
CZ 39 11
H 12
CZ 13 12
CZ 14 12
CZ 15 12
CZ 16 12
CZ 17 12
CZ 18 12
CZ 19 12
CZ 20 12
CZ 21 12
CZ 22 12
CZ 23 12
CZ 24 12
CZ 25 12
CZ 26 12
CZ 27 12
CZ 28 12
CZ 29 12
CZ 30 12
CZ 31 12
CZ 32 12
CZ 33 12
CZ 34 12
CZ 35 12
CZ 36 12
CZ 37 12
CZ 38 12
CZ 39 12
H 13
CZ 14 13
CZ 15 13
CZ 16 13
CZ 17 13
CZ 18 13
CZ 19 13
CZ 20 13
CZ 21 13
CZ 22 13
CZ 23 13
CZ 24 13
CZ 25 13
CZ 26 13
CZ 27 13
CZ 28 13
CZ 29 13
CZ 30 13
CZ 31 13
CZ 32 13
CZ 33 13
CZ 34 13
CZ 35 13
CZ 36 13
CZ 37 13
CZ 38 13
CZ 39 13
H 14
CZ 15 14
CZ 16 14
CZ 17 14
CZ 18 14
CZ 19 14
CZ 20 14
CZ 21 14
CZ 22 14
CZ 23 14
CZ 24 14
CZ 25 14
CZ 26 14
CZ 27 14
CZ 28 14
CZ 29 14
CZ 30 14
CZ 31 14
CZ 32 14
CZ 33 14
CZ 34 14
CZ 35 14
CZ 36 14
CZ 37 14
CZ 38 14
CZ 39 14
H 15
CZ 16 15
CZ 17 15
CZ 18 15
CZ 19 15
CZ 20 15
CZ 21 15
CZ 22 15
CZ 23 15
CZ 24 15
CZ 25 15
CZ 26 15
CZ 27 15
CZ 28 15
CZ 29 15
CZ 30 15
CZ 31 15
CZ 32 15
CZ 33 15
CZ 34 15
CZ 35 15
CZ 36 15
CZ 37 15
CZ 38 15
CZ 39 15
H 16
CZ 17 16
CZ 18 16
CZ 19 16
CZ 20 16
CZ 21 16
CZ 22 16
CZ 23 16
CZ 24 16
CZ 25 16
CZ 26 16
CZ 27 16
CZ 28 16
CZ 29 16
CZ 30 16
CZ 31 16
CZ 32 16
CZ 33 16
CZ 34 16
CZ 35 16
CZ 36 16
CZ 37 16
CZ 38 16
CZ 39 16
H 17
CZ 18 17
CZ 19 17
CZ 20 17
CZ 21 17
CZ 22 17
CZ 23 17
CZ 24 17
CZ 25 17
CZ 26 17
CZ 27 17
CZ 28 17
CZ 29 17
CZ 30 17
CZ 31 17
CZ 32 17
CZ 33 17
CZ 34 17
CZ 35 17
CZ 36 17
CZ 37 17
CZ 38 17
CZ 39 17
H 18
CZ 19 18
CZ 20 18
CZ 21 18
CZ 22 18
CZ 23 18
CZ 24 18
CZ 25 18
CZ 26 18
CZ 27 18
CZ 28 18
CZ 29 18
CZ 30 18
CZ 31 18
CZ 32 18
CZ 33 18
CZ 34 18
CZ 35 18
CZ 36 18
CZ 37 18
CZ 38 18
CZ 39 18
H 19
CZ 20 19
CZ 21 19
CZ 22 19
CZ 23 19
CZ 24 19
CZ 25 19
CZ 26 19
CZ 27 19
CZ 28 19
CZ 29 19
CZ 30 19
CZ 31 19
CZ 32 19
CZ 33 19
CZ 34 19
CZ 35 19
CZ 36 19
CZ 37 19
CZ 38 19
CZ 39 19
H 20
CZ 21 20
CZ 22 20
CZ 23 20
CZ 24 20
CZ 25 20
CZ 26 20
CZ 27 20
CZ 28 20
CZ 29 20
CZ 30 20
CZ 31 20
CZ 32 20
CZ 33 20
CZ 34 20
CZ 35 20
CZ 36 20
CZ 37 20
CZ 38 20
CZ 39 20
H 21
CZ 22 21
CZ 23 21
CZ 24 21
CZ 25 21
CZ 26 21
CZ 27 21
CZ 28 21
CZ 29 21
CZ 30 21
CZ 31 21
CZ 32 21
CZ 33 21
CZ 34 21
CZ 35 21
CZ 36 21
CZ 37 21
CZ 38 21
CZ 39 21
H 22
CZ 23 22
CZ 24 22
CZ 25 22
CZ 26 22
CZ 27 22
CZ 28 22
CZ 29 22
CZ 30 22
CZ 31 22
CZ 32 22
CZ 33 22
CZ 34 22
CZ 35 22
CZ 36 22
CZ 37 22
CZ 38 22
CZ 39 22
H 23
CZ 24 23
CZ 25 23
CZ 26 23
CZ 27 23
CZ 28 23
CZ 29 23
CZ 30 23
CZ 31 23
CZ 32 23
CZ 33 23
CZ 34 23
CZ 35 23
CZ 36 23
CZ 37 23
CZ 38 23
CZ 39 23
H 24
CZ 25 24
CZ 26 24
CZ 27 24
CZ 28 24
CZ 29 24
CZ 30 24
CZ 31 24
CZ 32 24
CZ 33 24
CZ 34 24
CZ 35 24
CZ 36 24
CZ 37 24
CZ 38 24
CZ 39 24
H 25
CZ 26 25
CZ 27 25
CZ 28 25
CZ 29 25
CZ 30 25
CZ 31 25
CZ 32 25
CZ 33 25
CZ 34 25
CZ 35 25
CZ 36 25
CZ 37 25
CZ 38 25
CZ 39 25
H 26
CZ 27 26
CZ 28 26
CZ 29 26
CZ 30 26
CZ 31 26
CZ 32 26
CZ 33 26
CZ 34 26
CZ 35 26
CZ 36 26
CZ 37 26
CZ 38 26
CZ 39 26
H 27
CZ 28 27
CZ 29 27
CZ 30 27
CZ 31 27
CZ 32 27
CZ 33 27
CZ 34 27
CZ 35 27
CZ 36 27
CZ 37 27
CZ 38 27
CZ 39 27
H 28
CZ 29 28
CZ 30 28
CZ 31 28
CZ 32 28
CZ 33 28
CZ 34 28
CZ 35 28
CZ 36 28
CZ 37 28
CZ 38 28
CZ 39 28
H 29
CZ 30 29
CZ 31 29
CZ 32 29
CZ 33 29
CZ 34 29
CZ 35 29
CZ 36 29
CZ 37 29
CZ 38 29
CZ 39 29
H 30
CZ 31 30
CZ 32 30
CZ 33 30
CZ 34 30
CZ 35 30
CZ 36 30
CZ 37 30
CZ 38 30
CZ 39 30
H 31
CZ 32 31
CZ 33 31
CZ 34 31
CZ 35 31
CZ 36 31
CZ 37 31
CZ 38 31
CZ 39 31
H 32
CZ 33 32
CZ 34 32
CZ 35 32
CZ 36 32
CZ 37 32
CZ 38 32
CZ 39 32
H 33
CZ 34 33
CZ 35 33
CZ 36 33
CZ 37 33
CZ 38 33
CZ 39 33
H 34
CZ 35 34
CZ 36 34
CZ 37 34
CZ 38 34
CZ 39 34
H 35
CZ 36 35
CZ 37 35
CZ 38 35
CZ 39 35
H 36
CZ 37 36
CZ 38 36
CZ 39 36
H 37
CZ 38 37
CZ 39 37
H 38
CZ 39 38
H 39
CZ 0 39
CZ 1 38
CZ 2 37
CZ 3 36
CZ 4 35
CZ 5 34
CZ 6 33
CZ 7 32
CZ 8 31
CZ 9 30
CZ 10 29
CZ 11 28
CZ 12 27
CZ 13 26
CZ 14 25
CZ 15 24
CZ 16 23
CZ 17 22
CZ 18 21
CZ 19 20
